sa4_code,sa4_name,state_code,state_name,anzsic_division,anzsic_name,employed_persons
113,Riverina,1,New South Wales,M,"Professional, Scientific and Technical Services",2618
113,Riverina,1,New South Wales,N,Administrative and Support Services,2181
113,Riverina,1,New South Wales,O,Public Administration and Safety,5740
113,Riverina,1,New South Wales,P,Education and Training,6954
113,Riverina,1,New South Wales,Q,Health Care and Social Assistance,10816
113,Riverina,1,New South Wales,R,Arts and Recreation Services,609
113,Riverina,1,New South Wales,S,Other Services,2893
113,Riverina,1,New South Wales,_T,Total,76713
114,Southern Highlands and Shoalhaven,1,New South Wales,A,"Agriculture, Forestry and Fishing",1571
114,Southern Highlands and Shoalhaven,1,New South Wales,B,Mining,433
114,Southern Highlands and Shoalhaven,1,New South Wales,C,Manufacturing,3533
114,Southern Highlands and Shoalhaven,1,New South Wales,D,"Electricity, Gas, Water and Waste Services",593
114,Southern Highlands and Shoalhaven,1,New South Wales,E,Construction,7569
114,Southern Highlands and Shoalhaven,1,New South Wales,F,Wholesale Trade,1332
114,Southern Highlands and Shoalhaven,1,New South Wales,G,Retail Trade,6632
114,Southern Highlands and Shoalhaven,1,New South Wales,H,Accommodation and Food Services,5920
114,Southern Highlands and Shoalhaven,1,New South Wales,I,"Transport, Postal and Warehousing",2174
114,Southern Highlands and Shoalhaven,1,New South Wales,J,Information Media and Telecommunications,545
114,Southern Highlands and Shoalhaven,1,New South Wales,K,Financial and Insurance Services,1237
114,Southern Highlands and Shoalhaven,1,New South Wales,L,"Rental, Hiring and Real Estate Services",1133
114,Southern Highlands and Shoalhaven,1,New South Wales,M,"Professional, Scientific and Technical Services",3903
114,Southern Highlands and Shoalhaven,1,New South Wales,N,Administrative and Support Services,2575
114,Southern Highlands and Shoalhaven,1,New South Wales,O,Public Administration and Safety,5175
114,Southern Highlands and Shoalhaven,1,New South Wales,P,Education and Training,5763
114,Southern Highlands and Shoalhaven,1,New South Wales,Q,Health Care and Social Assistance,9990
114,Southern Highlands and Shoalhaven,1,New South Wales,R,Arts and Recreation Services,928
114,Southern Highlands and Shoalhaven,1,New South Wales,S,Other Services,2550
114,Southern Highlands and Shoalhaven,1,New South Wales,_T,Total,66151
115,Sydney - Baulkham Hills and Hawkesbury,1,New South Wales,A,"Agriculture, Forestry and Fishing",1549
115,Sydney - Baulkham Hills and Hawkesbury,1,New South Wales,B,Mining,301
115,Sydney - Baulkham Hills and Hawkesbury,1,New South Wales,C,Manufacturing,7541
115,Sydney - Baulkham Hills and Hawkesbury,1,New South Wales,D,"Electricity, Gas, Water and Waste Services",1246
115,Sydney - Baulkham Hills and Hawkesbury,1,New South Wales,E,Construction,13812
115,Sydney - Baulkham Hills and Hawkesbury,1,New South Wales,F,Wholesale Trade,5494
115,Sydney - Baulkham Hills and Hawkesbury,1,New South Wales,G,Retail Trade,11729
115,Sydney - Baulkham Hills and Hawkesbury,1,New South Wales,H,Accommodation and Food Services,5421
115,Sydney - Baulkham Hills and Hawkesbury,1,New South Wales,I,"Transport, Postal and Warehousing",4501
115,Sydney - Baulkham Hills and Hawkesbury,1,New South Wales,J,Information Media and Telecommunications,2965
115,Sydney - Baulkham Hills and Hawkesbury,1,New South Wales,K,Financial and Insurance Services,9630
115,Sydney - Baulkham Hills and Hawkesbury,1,New South Wales,L,"Rental, Hiring and Real Estate Services",2674
115,Sydney - Baulkham Hills and Hawkesbury,1,New South Wales,M,"Professional, Scientific and Technical Services",14357
115,Sydney - Baulkham Hills and Hawkesbury,1,New South Wales,N,Administrative and Support Services,3269
115,Sydney - Baulkham Hills and Hawkesbury,1,New South Wales,O,Public Administration and Safety,6496
115,Sydney - Baulkham Hills and Hawkesbury,1,New South Wales,P,Education and Training,12433
115,Sydney - Baulkham Hills and Hawkesbury,1,New South Wales,Q,Health Care and Social Assistance,16693
115,Sydney - Baulkham Hills and Hawkesbury,1,New South Wales,R,Arts and Recreation Services,1526
115,Sydney - Baulkham Hills and Hawkesbury,1,New South Wales,S,Other Services,4605
115,Sydney - Baulkham Hills and Hawkesbury,1,New South Wales,_T,Total,132111
116,Sydney - Blacktown,1,New South Wales,A,"Agriculture, Forestry and Fishing",674
116,Sydney - Blacktown,1,New South Wales,B,Mining,256
116,Sydney - Blacktown,1,New South Wales,C,Manufacturing,13214
116,Sydney - Blacktown,1,New South Wales,D,"Electricity, Gas, Water and Waste Services",1980
116,Sydney - Blacktown,1,New South Wales,E,Construction,12749
116,Sydney - Blacktown,1,New South Wales,F,Wholesale Trade,7074
116,Sydney - Blacktown,1,New South Wales,G,Retail Trade,17635
116,Sydney - Blacktown,1,New South Wales,H,Accommodation and Food Services,8083
116,Sydney - Blacktown,1,New South Wales,I,"Transport, Postal and Warehousing",14360
116,Sydney - Blacktown,1,New South Wales,J,Information Media and Telecommunications,3427
116,Sydney - Blacktown,1,New South Wales,K,Financial and Insurance Services,11279
116,Sydney - Blacktown,1,New South Wales,L,"Rental, Hiring and Real Estate Services",2253
116,Sydney - Blacktown,1,New South Wales,M,"Professional, Scientific and Technical Services",13223
116,Sydney - Blacktown,1,New South Wales,N,Administrative and Support Services,5620
116,Sydney - Blacktown,1,New South Wales,O,Public Administration and Safety,10090
116,Sydney - Blacktown,1,New South Wales,P,Education and Training,12245
116,Sydney - Blacktown,1,New South Wales,Q,Health Care and Social Assistance,26093
116,Sydney - Blacktown,1,New South Wales,R,Arts and Recreation Services,1478
116,Sydney - Blacktown,1,New South Wales,S,Other Services,5206
116,Sydney - Blacktown,1,New South Wales,_T,Total,176932
117,Sydney - City and Inner South,1,New South Wales,A,"Agriculture, Forestry and Fishing",313
117,Sydney - City and Inner South,1,New South Wales,B,Mining,242
117,Sydney - City and Inner South,1,New South Wales,C,Manufacturing,5546
117,Sydney - City and Inner South,1,New South Wales,D,"Electricity, Gas, Water and Waste Services",1036
117,Sydney - City and Inner South,1,New South Wales,E,Construction,9931
117,Sydney - City and Inner South,1,New South Wales,F,Wholesale Trade,4406
117,Sydney - City and Inner South,1,New South Wales,G,Retail Trade,14120
117,Sydney - City and Inner South,1,New South Wales,H,Accommodation and Food Services,14888
117,Sydney - City and Inner South,1,New South Wales,I,"Transport, Postal and Warehousing",7672
117,Sydney - City and Inner South,1,New South Wales,J,Information Media and Telecommunications,7752
117,Sydney - City and Inner South,1,New South Wales,K,Financial and Insurance Services,17251
117,Sydney - City and Inner South,1,New South Wales,L,"Rental, Hiring and Real Estate Services",3840
117,Sydney - City and Inner South,1,New South Wales,M,"Professional, Scientific and Technical Services",32387
117,Sydney - City and Inner South,1,New South Wales,N,Administrative and Support Services,6655
117,Sydney - City and Inner South,1,New South Wales,O,Public Administration and Safety,11687
117,Sydney - City and Inner South,1,New South Wales,P,Education and Training,15829
117,Sydney - City and Inner South,1,New South Wales,Q,Health Care and Social Assistance,19627
117,Sydney - City and Inner South,1,New South Wales,R,Arts and Recreation Services,5347
117,Sydney - City and Inner South,1,New South Wales,S,Other Services,5378
117,Sydney - City and Inner South,1,New South Wales,_T,Total,192809
118,Sydney - Eastern Suburbs,1,New South Wales,A,"Agriculture, Forestry and Fishing",334
118,Sydney - Eastern Suburbs,1,New South Wales,B,Mining,235
118,Sydney - Eastern Suburbs,1,New South Wales,C,Manufacturing,3520
118,Sydney - Eastern Suburbs,1,New South Wales,D,"Electricity, Gas, Water and Waste Services",738
118,Sydney - Eastern Suburbs,1,New South Wales,E,Construction,9602
118,Sydney - Eastern Suburbs,1,New South Wales,F,Wholesale Trade,3291
118,Sydney - Eastern Suburbs,1,New South Wales,G,Retail Trade,8970
118,Sydney - Eastern Suburbs,1,New South Wales,H,Accommodation and Food Services,6942
118,Sydney - Eastern Suburbs,1,New South Wales,I,"Transport, Postal and Warehousing",4433
118,Sydney - Eastern Suburbs,1,New South Wales,J,Information Media and Telecommunications,5048
118,Sydney - Eastern Suburbs,1,New South Wales,K,Financial and Insurance Services,13527
118,Sydney - Eastern Suburbs,1,New South Wales,L,"Rental, Hiring and Real Estate Services",4182
118,Sydney - Eastern Suburbs,1,New South Wales,M,"Professional, Scientific and Technical Services",23379
118,Sydney - Eastern Suburbs,1,New South Wales,N,Administrative and Support Services,4741
118,Sydney - Eastern Suburbs,1,New South Wales,O,Public Administration and Safety,6457
118,Sydney - Eastern Suburbs,1,New South Wales,P,Education and Training,12467
118,Sydney - Eastern Suburbs,1,New South Wales,Q,Health Care and Social Assistance,16957
118,Sydney - Eastern Suburbs,1,New South Wales,R,Arts and Recreation Services,3324
118,Sydney - Eastern Suburbs,1,New South Wales,S,Other Services,3793
118,Sydney - Eastern Suburbs,1,New South Wales,_T,Total,138638
119,Sydney - Inner South West,1,New South Wales,A,"Agriculture, Forestry and Fishing",461
119,Sydney - Inner South West,1,New South Wales,B,Mining,212
